,id,is_free,price,total_positive_reviews,total_negative_reviews,Adventure,Casual,Indie,RPG,Action,Strategy,Simulation,Sports,Massively Multiplayer,Violent,Free to Play,Early Access,Gore,Nudity,Single-player,Steam Trading Cards,Steam Cloud,Partial Controller Support,Full controller support,Multi-player,Steam Achievements,Steam Workshop,Co-op,Steam Leaderboards,Online Co-op,Local Co-op,Shared/Split Screen,Stats,Online Multi-Player,Cross-Platform Multiplayer,SteamVR Collectibles,Local Multi-Player,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Valve Anti-Cheat enabled,Commentary available,Captions available,Includes level editor,In-App Purchases,VR Support,MMO,tag_action,tag_atmospheric,tag_co,tag_fantasy,tag_fi,tag_great,tag_indie,tag_multiplayer,tag_op,tag_open,tag_person,tag_rich,tag_rpg,tag_sci,tag_soundtrack,tag_story,tag_strategy,tag_world,pyear,pmonth,pday,ryear,rmonth,rday,delta_days,scores,playtime_forever
0,0,False,3700.0,372.0,96.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.41,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.49,0.47,0.0,0.0,0.0,0.47,0.0,0.0,2018.0,7.0,2.0,2013,12,10,1665.0,79.48717948717949,0.0
1,1,True,0.0,23.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016.0,11.0,26.0,2015,8,12,472.0,100.0,0.016666666666666666
2,2,False,5000.0,3018.0,663.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.46,0.33,0.31,0.0,0.0,0.0,0.0,0.37,0.0,0.46,0.33,0.37,0.0,0.0,2018.0,7.0,2.0,2014,1,28,1616.0,81.98859005704972,0.0
3,3,False,9900.0,63078.0,1746.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.0,0.0,0.35,0.0,0.0,0.23,0.28,0.0,0.3,0.57,0.0,0.3,0.0,0.0,0.0,0.32,0.3,2016.0,11.0,28.0,2010,3,31,2434.0,97.30655312847094,1.5333333333333334
4,4,False,4800.0,8841.0,523.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.0,0.49,0.26,0.0,0.18,0.17,0.21,0.49,0.0,0.42,0.0,0.22,0.0,0.18,0.0,0.24,0.0,2018.0,3.0,4.0,2012,7,30,2043.0,94.41478000854335,22.33333333333333
5,5,False,25800.0,-1.0,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.15,0.62,0.22,0.0,0.0,0.0,0.17,0.62,0.19,0.18,0.0,0.19,0.0,0.0,0.0,0.0,0.18,-1.0,-1.0,-1.0,2019,3,26,0.0,-1.0,2.933333333333333
6,6,False,3600.0,39776.0,1035.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.46,0.0,0.0,0.0,0.46,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,2018.0,2.0,16.0,2012,10,23,1942.0,97.4639190414349,2.6166666666666667
7,7,True,0.0,33.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,1.0,29.0,2016,4,28,641.0,91.66666666666666,0.15
8,8,False,4000.0,1875.0,39.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.0,0.48,0.0,0.33,0.31,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.33,0.0,0.44,0.0,2018.0,11.0,23.0,2014,2,25,1732.0,97.96238244514106,0.016666666666666666
9,9,False,8800.0,47.0,11.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,12.0,22.0,2017,10,17,66.0,81.03448275862068,0.016666666666666666
